Year,ID1,Latitude,Longitude,Elevation,MAT,MAP
1956,Little Jameson Creek,39.74298,-120.704002,1592,7.5,1226
1956,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,13.3,1343
1956,Mill Creek,34.07808,-116.875603,1992,7.9,384
1956,Moss Creek Merced Drainage,37.67203,-119.818199,529,13.9,569
1956,North Fork Middle Fork Tule,36.20081,-118.650902,1284,12.2,694
1956,North Fork Tuolumne,37.98555,-120.204498,689,13.9,630
1956,O'Neil Creek,41.80979,-123.118896,487,11.6,948
1956,Oregon Creek,39.39704,-121.082001,448,14.6,1192
1956,Paradise Creek,36.51883,-118.7603,887,14.1,694
1956,Rainbow Pool,37.81878,-120.007301,833,12.6,640
1956,Redwood Creek,36.68952,-118.909599,1677,9.4,784
1956,Rock Creek,43.37876,-122.952103,295,10.3,1618
1956,South Fork Middle Fork Tule,36.13756,-118.574097,1664,9.6,839
1956,Sweetwater Creek,37.64232,-119.924797,370,14.8,449
1956,Sweetwater River,32.89913,-116.586502,1386,12.4,326
1956,Wawona,37.53822,-119.651398,1208,11.2,755
1956,West Fork Mojave River,34.28425,-117.375397,1087,13.8,455
1956,Whitewater Canyon,33.99329,-116.662697,696,17.5,107
1956,Willow Creek,39.45785,-121.061798,748,13.1,1280
1957,Bear Creek,36.20696,-118.726898,1119,13.3,744
1957,Buck Meadows,37.77722,-120.063301,830,13,817
1957,Canton Creek,43.4137,-122.780403,503,10,1545
1957,Carlon,37.81006,-119.856796,1320,10.3,956
1957,Cherokee Creek,39.55384,-120.987801,1289,11.3,2036
1957,Chino Creek,39.73262,-121.4039,776,13.3,1724
1957,Coast Fork of Williamette,43.6517,-123.087997,254,10.3,1357
1957,Corral Creek,35.8529,-118.447304,982,14.4,416
1957,Deep Creek,41.66546,-123.113403,694,12,226
1957,Deer Creek,42.27525,-123.639999,387,11.6,1888
1957,Fiddle Creek,39.5204,-120.998199,706,12.8,1761
1957,Hauser Creek,32.65822,-116.532303,788,14.6,397
1957,Kitchen Creek,32.75206,-116.452202,1173,13.1,558
1957,Little Jameson Creek,39.74298,-120.704002,1592,7.8,1464
1957,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,13.4,1599
1957,Mill Creek,34.07808,-116.875603,1992,8.2,910
1957,Moss Creek Merced Drainage,37.67203,-119.818199,529,13.8,764
1957,North Fork Middle Fork Tule,36.20081,-118.650902,1284,12.3,858
1957,North Fork Tuolumne,37.98555,-120.204498,689,13.8,811
1957,O'Neil Creek,41.80979,-123.118896,487,11.7,1129
1957,Oregon Creek,39.39704,-121.082001,448,14.8,1408
1957,Paradise Creek,36.51883,-118.7603,887,14.3,829
1957,Rainbow Pool,37.81878,-120.007301,833,12.5,835
1957,Redwood Creek,36.68952,-118.909599,1677,9.7,977
1957,Rock Creek,43.37876,-122.952103,295,10.4,1609
1957,South Fork Middle Fork Tule,36.13756,-118.574097,1664,9.6,1038
1957,Sweetwater Creek,37.64232,-119.924797,370,14.7,614
1957,Sweetwater River,32.89913,-116.586502,1386,12.7,792
1957,Wawona,37.53822,-119.651398,1208,11.2,960
1957,West Fork Mojave River,34.28425,-117.375397,1087,14,794
1957,Whitewater Canyon,33.99329,-116.662697,696,17.7,299
1957,Willow Creek,39.45785,-121.061798,748,13.3,1506
1958,Bear Creek,36.20696,-118.726898,1119,14.3,859
1958,Buck Meadows,37.77722,-120.063301,830,13.7,1078
1958,Canton Creek,43.4137,-122.780403,503,11.8,1461
1958,Carlon,37.81006,-119.856796,1320,11,1142
1958,Cherokee Creek,39.55384,-120.987801,1289,12.7,2171
1958,Chino Creek,39.73262,-121.4039,776,14.7,2005
1958,Coast Fork of Williamette,43.6517,-123.087997,254,12,1284
1958,Corral Creek,35.8529,-118.447304,982,15.4,438
1958,Deep Creek,41.66546,-123.113403,694,13.6,227
1958,Deer Creek,42.27525,-123.639999,387,13,1910
1958,Fiddle Creek,39.5204,-120.998199,706,14.2,1902
1958,Hauser Creek,32.65822,-116.532303,788,15.3,376
1958,Kitchen Creek,32.75206,-116.452202,1173,13.8,576
1958,Little Jameson Creek,39.74298,-120.704002,1592,9.2,1514
1958,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,14.9,1794
1958,Mill Creek,34.07808,-116.875603,1992,9.1,1062
1958,Moss Creek Merced Drainage,37.67203,-119.818199,529,14.6,948
1958,North Fork Middle Fork Tule,36.20081,-118.650902,1284,13.3,951
1958,North Fork Tuolumne,37.98555,-120.204498,689,14.6,1088
1958,O'Neil Creek,41.80979,-123.118896,487,13.3,1002
1958,Oregon Creek,39.39704,-121.082001,448,16.2,1546
1958,Paradise Creek,36.51883,-118.7603,887,15.3,870
1958,Rainbow Pool,37.81878,-120.007301,833,13.3,1068
1958,Redwood Creek,36.68952,-118.909599,1677,10.6,1020
1958,Rock Creek,43.37876,-122.952103,295,12.2,1534
1958,South Fork Middle Fork Tule,36.13756,-118.574097,1664,10.6,1089
1958,Sweetwater Creek,37.64232,-119.924797,370,15.4,802
1958,Sweetwater River,32.89913,-116.586502,1386,13.5,828
1958,Wawona,37.53822,-119.651398,1208,11.9,1154
1958,West Fork Mojave River,34.28425,-117.375397,1087,15,856
1958,Whitewater Canyon,33.99329,-116.662697,696,18.7,370
1958,Willow Creek,39.45785,-121.061798,748,14.7,1626
1959,Bear Creek,36.20696,-118.726898,1119,14.5,361
1959,Buck Meadows,37.77722,-120.063301,830,14,632
1959,Canton Creek,43.4137,-122.780403,503,10.8,1117
1959,Carlon,37.81006,-119.856796,1320,11.5,670
1959,Cherokee Creek,39.55384,-120.987801,1289,12.8,1334
1959,Chino Creek,39.73262,-121.4039,776,14.6,1152
1959,Coast Fork of Williamette,43.6517,-123.087997,254,10.9,1034
1959,Corral Creek,35.8529,-118.447304,982,15.7,203
1959,Deep Creek,41.66546,-123.113403,694,12.4,112
1959,Deer Creek,42.27525,-123.639999,387,11.8,1167
1959,Fiddle Creek,39.5204,-120.998199,706,14.3,1170
1959,Hauser Creek,32.65822,-116.532303,788,15.3,233
1959,Kitchen Creek,32.75206,-116.452202,1173,13.8,349
1959,Little Jameson Creek,39.74298,-120.704002,1592,9.3,993
1959,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,14.8,1080
1959,Mill Creek,34.07808,-116.875603,1992,9.3,567
1959,Moss Creek Merced Drainage,37.67203,-119.818199,529,15,551
1959,North Fork Middle Fork Tule,36.20081,-118.650902,1284,13.5,406
1959,North Fork Tuolumne,37.98555,-120.204498,689,14.8,637
1959,O'Neil Creek,41.80979,-123.118896,487,12.1,548
1959,Oregon Creek,39.39704,-121.082001,448,16.3,937
1959,Paradise Creek,36.51883,-118.7603,887,15.5,360
1959,Rainbow Pool,37.81878,-120.007301,833,13.6,627
1959,Redwood Creek,36.68952,-118.909599,1677,10.8,458
1959,Rock Creek,43.37876,-122.952103,295,11.1,1181
1959,South Fork Middle Fork Tule,36.13756,-118.574097,1664,10.9,468
1959,Sweetwater Creek,37.64232,-119.924797,370,15.8,453
1959,Sweetwater River,32.89913,-116.586502,1386,13.5,465
1959,Wawona,37.53822,-119.651398,1208,12.4,643
1959,West Fork Mojave River,34.28425,-117.375397,1087,15.3,418
1959,Whitewater Canyon,33.99329,-116.662697,696,18.7,216
1959,Willow Creek,39.45785,-121.061798,748,14.8,997
1960,Bear Creek,36.20696,-118.726898,1119,13.9,585
1960,Buck Meadows,37.77722,-120.063301,830,13.5,823
1960,Canton Creek,43.4137,-122.780403,503,10.6,1617
1960,Carlon,37.81006,-119.856796,1320,10.9,853
1960,Cherokee Creek,39.55384,-120.987801,1289,12.3,1955
1960,Chino Creek,39.73262,-121.4039,776,14.2,1709
1960,Coast Fork of Williamette,43.6517,-123.087997,254,10.8,1455
1960,Corral Creek,35.8529,-118.447304,982,15.2,295
1960,Deep Creek,41.66546,-123.113403,694,12.6,197
1960,Deer Creek,42.27525,-123.639999,387,11.8,1800
1960,Fiddle Creek,39.5204,-120.998199,706,13.8,1721
1960,Hauser Creek,32.65822,-116.532303,788,14.3,236
1960,Kitchen Creek,32.75206,-116.452202,1173,12.9,319
1960,Little Jameson Creek,39.74298,-120.704002,1592,8.9,1306
1960,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,14.4,1603
1960,Mill Creek,34.07808,-116.875603,1992,8.8,503
1960,Moss Creek Merced Drainage,37.67203,-119.818199,529,14.5,720
1960,North Fork Middle Fork Tule,36.20081,-118.650902,1284,12.9,639
1960,North Fork Tuolumne,37.98555,-120.204498,689,14.2,796
1960,O'Neil Creek,41.80979,-123.118896,487,12.3,978
1960,Oregon Creek,39.39704,-121.082001,448,15.8,1437
1960,Paradise Creek,36.51883,-118.7603,887,15,578
1960,Rainbow Pool,37.81878,-120.007301,833,13.1,809
1960,Redwood Creek,36.68952,-118.909599,1677,10.3,680
1960,Rock Creek,43.37876,-122.952103,295,11,1692
1960,South Fork Middle Fork Tule,36.13756,-118.574097,1664,10.3,748
1960,Sweetwater Creek,37.64232,-119.924797,370,15.2,609
1960,Sweetwater River,32.89913,-116.586502,1386,12.7,477
1960,Wawona,37.53822,-119.651398,1208,11.8,867
