Site,ID,ID2,Site_Lat,Lat,Long,Elevation,Lat_spei,Long_spei,Year,SPEI
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,1288,36.25,-118.75,2014,-1.798789143562317
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,1682,36.75,-118.75,2014,-1.8190412521362305
5,S32,Wawona,5_37.5,37.539,-119.654,1214,35.75,-119.75,2014,-1.8574495315551758
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,440,39.25,-121.25,2014,-1.7871417999267578
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,1593,39.75,-120.75,2014,-1.4409561157226562
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,680,41.75,-123.25,2014,-1.4376518726348877
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,1092,41.75,-123.25,2014,-1.4376518726348877
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,393,42.25,-123.75,2014,-1.3774467706680298
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,1168,43.25,-122.75,2014,-1.2177640199661255
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,1168,32.75,-116.75,2015,-1.3214354515075684
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,1990,34.25,-116.75,2015,-0.6125758290290833
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,1092,34.25,-117.25,2015,-0.8784630298614502
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,1288,36.25,-118.75,2015,-0.7251754999160767
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,1682,36.75,-118.75,2015,-0.5729978680610657
5,S32,Wawona,5_37.5,37.539,-119.654,1214,35.75,-119.75,2015,-1.3941962718963623
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,440,39.25,-121.25,2015,-1.1589488983154297
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,1593,39.75,-120.75,2015,-0.9150210022926331
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,680,41.75,-123.25,2015,-0.9542492628097534
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,1092,41.75,-123.25,2015,-0.9542492628097534
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,393,42.25,-123.75,2015,-0.9288861751556396
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,1168,43.25,-122.75,2015,-1.222493290901184
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,1168,32.75,-116.75,2016,-1.259979248046875
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,1990,34.25,-116.75,2016,-1.0775099992752075
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,1092,34.25,-117.25,2016,-1.0716265439987183
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,1288,36.25,-118.75,2016,-0.16672469675540924
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,1682,36.75,-118.75,2016,0.03759670630097389
5,S32,Wawona,5_37.5,37.539,-119.654,1214,35.75,-119.75,2016,-0.2756779193878174
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,440,39.25,-121.25,2016,0.28727516531944275
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,1593,39.75,-120.75,2016,0.4525473713874817
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,680,41.75,-123.25,2016,0.451564759016037
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,1092,41.75,-123.25,2016,0.451564759016037
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,393,42.25,-123.75,2016,0.5606279969215393
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,1168,43.25,-122.75,2016,0.4574694037437439
