Order,Family,Block,Treatment,Site,Year
1205,119,2,D,,
2546,119,3,D,,
2943,119,4,D,,
13,119,1,W,,
481,119,2,W,,
1600,119,3,W,,
2190,119,4,W,,
821,120,1,D,,
1518,120,2,D,,
2692,120,3,D,,
2843,120,4,D,,
65,120,1,W,,
538,120,2,W,,
1550,120,3,W,,
2041,120,4,W,,
819,121,1,D,,
1216,121,2,D,,
2601,121,3,D,,
2944,121,4,D,,
41,121,1,W,,
606,121,2,W,,
1738,121,3,W,,
1937,121,4,W,,
873,122,1,D,,
1376,122,2,D,,
2679,122,3,D,,
3056,122,4,D,,
349,122,1,W,,
650,122,2,W,,
1797,122,3,W,,
1987,122,4,W,,
991,123,1,D,,
1302,123,2,D,,
2360,123,3,D,,
2707,123,4,D,,
114,123,1,W,,
643,123,2,W,,
1698,123,3,W,,
2194,123,4,W,,
1030,124,1,D,,
1308,124,2,D,,
2585,124,3,D,,
2876,124,4,D,,
361,124,1,W,,
508,124,2,W,,
1627,124,3,W,,
2266,124,4,W,,
882,125,1,D,,
1502,125,2,D,,
2391,125,3,D,,
3066,125,4,D,,
171,125,1,W,,
596,125,2,W,,
1767,125,3,W,,
2124,125,4,W,,
888,126,1,D,,
1191,126,2,D,,
2610,126,3,D,,
2995,126,4,D,,
165,126,1,W,,
617,126,2,W,,
1631,126,3,W,,
1932,126,4,W,,
1089,127,1,D,,
1174,127,2,D,,
2421,127,3,D,,
2757,127,4,D,,
211,127,1,W,,
503,127,2,W,,
1685,127,3,W,,
2143,127,4,W,,
1126,128,1,D,,
1162,128,2,D,,
2363,128,3,D,,
3079,128,4,D,,
225,128,1,W,,
610,128,2,W,,
1649,128,3,W,,
2127,128,4,W,,
1138,129,1,D,,
1421,129,2,D,,
2345,129,3,D,,
2791,129,4,D,,
67,129,1,W,,
469,129,2,W,,
1669,129,3,W,,
2259,129,4,W,,
789,130,1,D,,
1323,130,2,D,,
2579,130,3,D,,
2819,130,4,D,,
362,130,1,W,,
754,130,2,W,,
1624,130,3,W,,
2118,130,4,W,,
808,131,1,D,,
1290,131,2,D,,
2398,131,3,D,,
3036,131,4,D,,
297,131,1,W,,
523,131,2,W,,
1635,131,3,W,,
1990,131,4,W,,
773,132,1,D,,
1481,132,2,D,,
2568,132,3,D,,
2841,132,4,D,,
22,132,1,W,,
582,132,2,W,,
1594,132,3,W,,
1955,132,4,W,,
839,133,1,D,,
1324,133,2,D,,
2604,133,3,D,,
2905,133,4,D,,
295,133,1,W,,
579,133,2,W,,
1714,133,3,W,,
2176,133,4,W,,
775,134,1,D,,
1198,134,2,D,,
2677,134,3,D,,
3080,134,4,D,,
140,134,1,W,,
532,134,2,W,,
1641,134,3,W,,
2092,134,4,W,,
980,135,1,D,,
1173,135,2,D,,
2592,135,3,D,,
2945,135,4,D,,
50,135,1,W,,
426,135,2,W,,
1646,135,3,W,,
2173,135,4,W,,
1111,136,1,D,,
1214,136,2,D,,
2570,136,3,D,,
2825,136,4,D,,
117,136,1,W,,
423,136,2,W,,
1662,136,3,W,,
2139,136,4,W,,
887,137,1,D,,
1448,137,2,D,,
2436,137,3,D,,
2798,137,4,D,,
97,137,1,W,,
589,137,2,W,,
1708,137,3,W,,
2073,137,4,W,,
924,138,1,D,,
1178,138,2,D,,
2488,138,3,D,,
2781,138,4,D,,
141,138,1,W,,
762,138,2,W,,
1589,138,3,W,,
2303,138,4,W,,
1040,139,1,D,,
1513,139,2,D,,
2626,139,3,D,,
2875,139,4,D,,
26,139,1,W,,
714,139,2,W,,
1605,139,3,W,,
2228,139,4,W,,
1106,140,1,D,,
1286,140,2,D,,
2627,140,3,D,,
2983,140,4,D,,
7,140,1,W,,
615,140,2,W,,
1806,140,3,W,,
2186,140,4,W,,
842,141,1,D,,
1184,141,2,D,,
2539,141,3,D,,
2962,141,4,D,,
381,141,1,W,,
758,141,2,W,,
1645,141,3,W,,
2163,141,4,W,,
826,142,1,D,,
1462,142,2,D,,
2419,142,3,D,,
3019,142,4,D,,
112,142,1,W,,
401,142,2,W,,
1874,142,3,W,,
2169,142,4,W,,
945,143,1,D,,
1311,143,2,D,,
2510,143,3,D,,
2721,143,4,D,,
86,143,1,W,,
404,143,2,W,,
1702,143,3,W,,
2288,143,4,W,,
854,144,1,D,,
1397,144,2,D,,
2409,144,3,D,,
3047,144,4,D,,
177,144,1,W,,
574,144,2,W,,
1568,144,3,W,,
2233,144,4,W,,
1052,145,1,D,,
1201,145,2,D,,
2320,145,3,D,,
2732,145,4,D,,
264,145,1,W,,
399,145,2,W,,
1691,145,3,W,,
2277,145,4,W,,
832,146,1,D,,
1229,146,2,D,,
2509,146,3,D,,
2937,146,4,D,,
310,146,1,W,,
450,146,2,W,,
1543,146,3,W,,
2075,146,4,W,,
1073,147,1,D,,
1209,147,2,D,,
2365,147,3,D,,
2996,147,4,D,,
190,147,1,W,,
455,147,2,W,,
1764,147,3,W,,
2117,147,4,W,,
1062,148,1,D,,
1488,148,2,D,,
2664,148,3,D,,
2780,148,4,D,,
279,148,1,W,,
770,148,2,W,,
1792,148,3,W,,
1927,148,4,W,,
900,149,1,D,,
1484,149,2,D,,
2437,149,3,D,,
2846,149,4,D,,
61,149,1,W,,
695,149,2,W,,
1590,149,3,W,,
2022,149,4,W,,
772,150,1,D,,
1284,150,2,D,,
2680,150,3,D,,
3007,150,4,D,,
152,150,1,W,,
669,150,2,W,,
1912,150,3,W,,
2247,150,4,W,,
1133,151,1,D,,
1231,151,2,D,,
2499,151,3,D,,
2738,151,4,D,,
228,151,1,W,,
517,151,2,W,,
1578,151,3,W,,
2304,151,4,W,,
1018,152,1,D,,
1356,152,2,D,,
2645,152,3,D,,
2850,152,4,D,,
84,152,1,W,,
581,152,2,W,,
1569,152,3,W,,
1950,152,4,W,,
1128,153,1,D,,
1238,153,2,D,,
2511,153,3,D,,
2834,153,4,D,,
335,153,1,W,,
620,153,2,W,,
1579,153,3,W,,
2148,153,4,W,,
938,154,1,D,,
1413,154,2,D,,
2351,154,3,D,,
2811,154,4,D,,
322,154,1,W,,
629,154,2,W,,
1544,154,3,W,,
2110,154,4,W,,
1082,155,1,D,,
1469,155,2,D,,
2445,155,3,D,,
3059,155,4,D,,
379,155,1,W,,
443,155,2,W,,
1727,155,3,W,,
2205,155,4,W,,
872,156,1,D,,
1389,156,2,D,,
2547,156,3,D,,
2958,156,4,D,,
199,156,1,W,,
661,156,2,W,,
1856,156,3,W,,
2068,156,4,W,,
880,157,1,D,,
1528,157,2,D,,
2507,157,3,D,,
2719,157,4,D,,
101,157,1,W,,
476,157,2,W,,
1876,157,3,W,,
2131,157,4,W,,
915,158,1,D,,
1359,158,2,D,,
2342,158,3,D,,
2878,158,4,D,,
260,158,1,W,,
708,158,2,W,,
1684,158,3,W,,
2235,158,4,W,,
923,159,1,D,,
1529,159,2,D,,
2364,159,3,D,,
2953,159,4,D,,
299,159,1,W,,
613,159,2,W,,
1718,159,3,W,,
2166,159,4,W,,
976,160,1,D,,
1275,160,2,D,,
2655,160,3,D,,
2752,160,4,D,,
292,160,1,W,,
751,160,2,W,,
1675,160,3,W,,
2132,160,4,W,,
865,161,1,D,,
1252,161,2,D,,
2373,161,3,D,,
3035,161,4,D,,
281,161,1,W,,
631,161,2,W,,
1659,161,3,W,,
2306,161,4,W,,
831,162,1,D,,
1167,162,2,D,,
2378,162,3,D,,
2812,162,4,D,,
138,162,1,W,,
718,162,2,W,,
1583,162,3,W,,
1973,162,4,W,,
1153,163,1,D,,
1251,163,2,D,,
2581,163,3,D,,
2918,163,4,D,,
368,163,1,W,,
403,163,2,W,,
1625,163,3,W,,
1942,163,4,W,,
