,Site,Year,Latitude,Longitude,Elevation,Decision,MAT.weath,MAP.weath,CMD.weath,MAT.weath.1,MAP.weath.1,CMD.weath.1,log.MAP.weath,log.MAP.weath.1,MAT.clim,MAP.clim,CMD.clim,log.MAP.clim,CMD.anom,MAT.anom,MAP.anom,CMD.anom.1,MAT.anom.1,MAP.anom.1,CMD.clim.s,MAT.clim.s,MAP.clim.s,CMD.weath.s,MAT.weath.s,MAP.weath.s,CMD.anom.s,MAT.anom.s,MAP.anom.s,CMD.anom.1.s,MAT.anom.1.s,MAP.anom.1.s
67,S16,2015,41.80979,-123.118874,1092,Included,13.175,66.91666667,740,11.925,57,723,4.203448064,4.043051268,11.17444444,80.50833333,655.0666667,4.388360699,84.93333333,2.000555556,-0.184912635,67.93333333,0.750555556,-0.345309431,-0.629589756,-0.340254554,0.083251528,-0.15699855,0.333582975,0.071471392,1.178064258,1.826982823,-0.004213258,0.907725147,0.45601847,-0.434646366
79,S16,2016,41.80979,-123.118874,1092,Included,12.58333333,95.08333333,747,13.175,66.91666667,740,4.5547537,4.203448064,11.17444444,80.50833333,655.0666667,4.388360699,91.93333333,1.408888889,0.166393001,84.93333333,2.000555556,-0.184912635,-0.629589756,-0.340254554,0.083251528,-0.119894391,0.073587044,0.55967094,1.275036496,1.097015456,1.242784908,1.140178836,2.073256958,0.16804425
8,S17,2010,41.66546,-123.113411,680,Unavailable,12.05833333,13.66666667,927,12.60833333,10.5,1014,2.614959778,2.351375257,12.47083333,14.43888889,996.4,2.669925184,-69.4,-0.4125,-0.054965406,17.6,0.1375,-0.318549927,1.2446741,0.270933336,-2.635667612,0.834212555,-0.15711357,-2.136006042,-0.959942692,-1.150118828,0.457048787,0.219479909,-0.337147162,-0.334097586
20,S17,2011,41.66546,-123.113411,680,Included,12.2,15.16666667,926,12.05833333,13.66666667,927,2.719100037,2.614959778,12.47083333,14.43888889,996.4,2.669925184,-70.4,-0.270833333,0.049174854,-69.4,-0.4125,-0.054965406,1.2446741,0.270933336,-2.635667612,0.828911961,-0.094861024,-1.991285257,-0.973795868,-0.975337909,0.826706142,-0.970136032,-1.048732097,0.656320682
32,S17,2012,41.66546,-123.113411,680,Unavailable,12.425,13,973,12.2,15.16666667,926,2.564949357,2.719100037,12.47083333,14.43888889,996.4,2.669925184,-23.4,-0.045833333,-0.104975826,-70.4,-0.270833333,0.049174854,1.2446741,0.270933336,-2.635667612,1.078039886,0.004010668,-2.205504115,-0.32269656,-0.697744685,0.279531274,-0.983809779,-0.865445068,1.047627482
44,S17,2013,41.66546,-123.113411,680,Unavailable,13.06666667,14.16666667,1038,12.425,13,973,2.650891787,2.564949357,12.47083333,14.43888889,996.4,2.669925184,41.6,0.595833333,-0.019033396,-23.4,-0.045833333,-0.104975826,1.2446741,0.270933336,-2.635667612,1.422578505,0.285978086,-2.086072341,0.577759931,0.093910065,0.584593424,-0.341143696,-0.574342141,0.468406635
56,S17,2014,41.66546,-123.113411,680,Included,13.21666667,8.75,1067,13.06666667,14.16666667,1038,2.1690537,2.650891787,12.47083333,14.43888889,996.4,2.669925184,70.6,0.745833333,-0.500871483,41.6,0.595833333,-0.019033396,1.2446741,0.270933336,-2.635667612,1.576295736,0.351892547,-2.75566916,0.979502058,0.278972214,-1.125744098,0.547649823,0.255840283,0.791335129
68,S17,2015,41.66546,-123.113411,680,Included,14.46666667,10.75,1112,13.21666667,8.75,1067,2.374905755,2.1690537,12.47083333,14.43888889,996.4,2.669925184,115.6,1.995833333,-0.295019429,70.6,0.745833333,-0.500871483,1.2446741,0.270933336,-2.635667612,1.814822472,0.901179725,-2.469602358,1.602895013,1.821156792,-0.39504949,0.94418847,0.449908902,-1.019170443
80,S17,2016,41.66546,-123.113411,680,Remove,13.86666667,15.08333333,1061,14.46666667,10.75,1112,2.713590381,2.374905755,12.47083333,14.43888889,996.4,2.669925184,64.6,1.395833333,0.043665198,115.6,1.995833333,-0.295019429,1.2446741,0.270933336,-2.635667612,1.544492171,0.63752188,-1.99894187,0.896382997,1.080908195,0.807149011,1.55950706,2.06714739,-0.245681793
9,S18,2010,39.74298,-120.70401,1593,Included,8.191666667,109.1666667,574,9.166666667,93.41666667,615,4.692875766,4.537069773,8.713888889,113.4638889,633.4666667,4.731484627,-59.46666667,-0.522222222,-0.03860886,-18.46666667,0.452777778,-0.194414853,-0.748195515,-1.500293621,0.626144297,-1.036897179,-1.856241906,0.751615285,-0.822334469,-1.285488363,0.515108152,-0.273686546,0.070756323,0.132339683
